"","Date","Game","Name","Team","Cat","Side","Odds","Risk","ToWin","Result","Net","Unt"
"1382","11/27/2022","CLE@DET","Darius Garland","CLE","Ast","U",-108,108,100,"L",-108,-1.08
"1383","11/27/2022","CLE@DET","Darius Garland","CLE","Reb","U",-140,140,100,"W",100,1
"1384","11/27/2022","CLE@DET","Dean Wade","CLE","Reb","U",-125,125,100,"L",-125,-1.25
"1385","11/27/2022","CLE@DET","Donovan Mitchell","CLE","Ast","U",120,83,100,"W",100,1
"1386","11/27/2022","CLE@DET","Donovan Mitchell","CLE","Reb","U",100,100,100,"L",-100,-1
"1387","11/27/2022","CLE@DET","Evan Mobley","CLE","Reb","U",-140,140,100,"L",-140,-1.4
"1388","11/27/2022","MEM@NYK","Ja Morant","MEM","Reb","O",-137,137,100,"W",100,1
"1389","11/27/2022","MEM@NYK","Steven Adams","MEM","Pts","U",100,100,100,"L",-100,-1
"1390","11/27/2022","DAL@MIL","Spencer Dinwiddie","DAL","Pts","U",-113,113,100,"L",-113,-1.13
"1391","11/27/2022","DAL@MIL","Giannis Antetokounmpo","MIL","Pts","O",-113,113,100,"L",-113,-1.13
"1392","11/28/2022","ATL@PHI","Dejounte Murray","ATL","Pts","U",-105,105,100,"W",100,1
"1393","11/28/2022","ATL@PHI","Dejounte Murray","ATL","Reb","U",100,100,100,"W",100,1
"1394","11/28/2022","ATL@PHI","Trae Young","ATL","Reb","U",140,71,100,"W",100,1
"1395","11/28/2022","MIN@WAS","Anthony Edwards","MIN","Ast","U",-106,106,100,"W",100,1
"1396","11/28/2022","MIN@WAS","D'Angelo Russell","MIN","Pts","U",-109,109,100,"L",-109,-1.09
"1397","11/28/2022","MIN@WAS","Karl-Anthony Towns","MIN","Ast","U",-115,115,100,"W",100,1
"1398","11/28/2022","MIN@WAS","Bradley Beal","WAS","Pts","U",-121,121,100,"W",100,1
"1399","11/28/2022","MIN@WAS","Bradley Beal","WAS","Ast","O",-110,110,100,"L",-110,-1.1
"1400","11/28/2022","MIN@WAS","Bradley Beal","WAS","Reb","U",-112,112,100,"W",100,1
"1401","11/28/2022","MIN@WAS","Deni Avdija","WAS","Pts","U",-125,125,100,"W",100,1
"1402","11/28/2022","CHA@BOS","Jalen McDaniels","CHA","Ast","U",-145,145,100,"W",100,1
"1403","11/28/2022","CHA@BOS","Kelly Oubre","CHA","Ast","U",-150,150,100,"L",-150,-1.5
"1404","11/28/2022","CHA@BOS","Mason Plumlee","CHA","Ast","U",-150,150,100,"L",-150,-1.5
"1405","11/28/2022","CHA@BOS","Nick Richards","CHA","Pts","U",-105,105,100,"W",100,1
"1406","11/28/2022","CHA@BOS","PJ Washington","CHA","Ast","U",-125,125,100,"W",100,1
"1407","11/28/2022","CHA@BOS","Theo Maledon","CHA","Pts","U",-105,105,100,"L",-105,-1.05
"1408","11/28/2022","CLE@TOR","Darius Garland","CLE","Reb","U",-143,143,100,"L",-143,-1.43
"1409","11/28/2022","CLE@TOR","Donovan Mitchell","CLE","Ast","U",-110,110,100,"W",100,1
"1410","11/28/2022","CLE@TOR","Evan Mobley","CLE","Reb","U",-135,135,100,"L",-135,-1.35
"1411","11/28/2022","ORL@BKN","Ben Simmons","BKN","Pts","U",-104,104,100,"W",100,1
"1412","11/28/2022","ORL@BKN","Kyrie Irving","BKN","Ast","U",-112,112,100,"W",100,1
"1413","11/28/2022","ORL@BKN","Nicolas Claxton","BKN","Reb","U",-114,114,100,"L",-114,-1.14
"1414","11/28/2022","OKC@NOP","Jonas Valanciunas","NOP","Ast","U",-110,110,100,"W",100,1
"1415","11/28/2022","OKC@NOP","Zion Williamson","NOP","Reb","U",112,89,100,"L",-89,-0.89
"1416","11/28/2022","OKC@NOP","Shai Gilgeous-Alexander","OKC","Pts","U",-106,106,100,"L",-106,-1.06
"1417","11/28/2022","OKC@NOP","Shai Gilgeous-Alexander","OKC","Ast","U",123,81,100,"W",100,1
"1418","11/28/2022","CHI@UTA","Ayo Dosunmu","CHI","Ast","U",114,88,100,"L",-88,-0.88
"1419","11/28/2022","CHI@UTA","Nikola Vucevic","CHI","Reb","U",-129,129,100,"W",100,1
"1420","11/28/2022","CHI@UTA","Patrick Williams","CHI","Ast","U",180,56,100,"W",100,1
"1421","11/28/2022","CHI@UTA","Zach LaVine","CHI","Ast","U",-130,130,100,"L",-130,-1.3
"1422","11/28/2022","CHI@UTA","Collin Sexton","UTA","Pts","U",-118,118,100,"W",100,1
"1423","11/28/2022","CHI@UTA","Collin Sexton","UTA","Reb","U",-118,118,100,"L",-118,-1.18
"1424","11/28/2022","CHI@UTA","Jarred Vanderbilt","UTA","Ast","U",100,100,100,"L",-100,-1
"1425","11/28/2022","CHI@UTA","Kelly Olynyk","UTA","Pts","U",-118,118,100,"L",-118,-1.18
"1426","11/28/2022","CHI@UTA","Kelly Olynyk","UTA","Ast","U",-105,105,100,"L",-105,-1.05
"1427","11/28/2022","CHI@UTA","Lauri Markkanen","UTA","Ast","U",-130,130,100,"W",100,1
"1428","11/28/2022","HOU@DEN","Jamal Murray","DEN","Ast","U",110,91,100,"W",100,1
"1429","11/28/2022","HOU@DEN","Kentavious Caldwell-Pope","DEN","Reb","U",-138,138,100,"W",100,1
"1430","11/28/2022","HOU@DEN","Nikola Jokic","DEN","Pts","U",-118,118,100,"L",-118,-1.18
"1431","11/28/2022","HOU@DEN","Nikola Jokic","DEN","Reb","U",-105,105,100,"L",-105,-1.05
"1432","11/28/2022","HOU@DEN","Jabari Smith Jr","HOU","Ast","U",150,67,100,"L",-67,-0.67
"1433","11/28/2022","HOU@DEN","Jalen Green","HOU","Reb","U",125,80,100,"W",100,1
"1434","11/28/2022","PHX@SAC","Deandre Ayton","PHX","Ast","U",-165,165,100,"W",100,1
"1435","11/28/2022","PHX@SAC","Deandre Ayton","PHX","Reb","U",-130,130,100,"L",-130,-1.3
"1436","11/28/2022","PHX@SAC","De'Aaron Fox","SAC","Pts","U",-114,114,100,"W",100,1
"1437","11/28/2022","PHX@SAC","Domantas Sabonis","SAC","Ast","U",-132,132,100,"L",-132,-1.32
"1438","11/28/2022","PHX@SAC","Harrison Barnes","SAC","Reb","U",-110,110,100,"W",100,1
"1439","11/28/2022","PHX@SAC","Keegan Murray","SAC","Ast","U",160,63,100,"L",-63,-0.63
"1440","11/28/2022","IND@LAL","Buddy Hield","IND","Ast","U",105,95,100,"W",100,1
"1441","11/28/2022","IND@LAL","Tyrese Haliburton","IND","Ast","O",110,91,100,"W",100,1
"1442","11/28/2022","IND@LAL","Anthony Davis","LAL","Ast","U",-125,125,100,"L",-125,-1.25
"1443","11/28/2022","IND@LAL","Dennis Schroder","LAL","Reb","U",130,77,100,"L",-77,-0.77
"1444","11/28/2022","IND@LAL","Lonnie Walker","LAL","Ast","U",135,74,100,"L",-74,-0.74
"1445","11/29/2022","NYK@DET","Jalen Brunson","NYK","Reb","U",120,83,100,"W",100,1
"1446","11/29/2022","NYK@DET","Julius Randle","NYK","Ast","U",106,94,100,"L",-94,-0.94
"1447","11/29/2022","NYK@DET","RJ Barrett","NYK","Ast","U",-135,135,100,"W",100,1
"1448","11/29/2022","GSW@DAL","Spencer Dinwiddie","DAL","Pts","U",-115,115,100,"W",100,1
"1449","11/29/2022","GSW@DAL","Tim Hardaway Jr.","DAL","Ast","U",139,72,100,"L",-72,-0.72
"1450","11/29/2022","GSW@DAL","Andrew Wiggins","GSW","Reb","U",-120,120,100,"W",100,1
"1451","11/29/2022","GSW@DAL","Draymond Green","GSW","Pts","U",-124,124,100,"L",-124,-1.24
"1452","11/29/2022","LAC@POR","Amir Coffey","LAC","Ast","U",-174,174,100,"W",100,1
"1453","11/29/2022","LAC@POR","Ivica Zubac","LAC","Pts","U",-117,117,100,"W",100,1
"1454","11/29/2022","LAC@POR","Nicolas Batum","LAC","Ast","U",100,100,100,"L",-100,-1
"1455","11/29/2022","LAC@POR","Terance Mann","LAC","Pts","U",-104,104,100,"W",100,1
"1456","11/29/2022","LAC@POR","Terance Mann","LAC","Ast","U",133,75,100,"W",100,1
"1457","11/29/2022","LAC@POR","Anfernee Simons","POR","Ast","U",-130,130,100,"W",100,1
"1458","11/29/2022","LAC@POR","Jerami Grant","POR","Reb","U",-130,130,100,"W",100,1
"1459","11/29/2022","LAC@POR","Josh Hart","POR","Ast","U",-134,134,100,"L",-134,-1.34
"1460","11/30/2022","ATL@ORL","Dejounte Murray","ATL","Pts","U",-105,105,100,"L",-105,-1.05
